Sequential Scan - Query 76: id=10117, x=79.44, y=120.30
Best First - Query 76: id=10117, x=79.44, y=120.30
Divide and Conquer - Query 76: id=10117, x=79.44, y=120.30
Sequential Scan - Query 77: id=15337, x=26.75, y=95.08
Best First - Query 77: id=15337, x=26.75, y=95.08
Divide and Conquer - Query 77: id=15337, x=26.75, y=95.08
Sequential Scan - Query 78: id=136556, x=18.20, y=102.62
Best First - Query 78: id=136556, x=18.20, y=102.62
Divide and Conquer - Query 78: id=136556, x=18.20, y=102.62
Sequential Scan - Query 79: id=38707, x=39.87, y=145.38
Best First - Query 79: id=38707, x=39.87, y=145.38
Divide and Conquer - Query 79: id=38707, x=39.87, y=145.38
Sequential Scan - Query 80: id=3806, x=28.50, y=160.06
Best First - Query 80: id=3806, x=28.50, y=160.06
Divide and Conquer - Query 80: id=3806, x=28.50, y=160.06
Sequential Scan - Query 81: id=118546, x=59.87, y=109.27
Best First - Query 81: id=118546, x=59.87, y=109.27
Divide and Conquer - Query 81: id=118546, x=59.87, y=109.27
Sequential Scan - Query 82: id=9172, x=41.78, y=138.17
Best First - Query 82: id=9172, x=41.78, y=138.17
Divide and Conquer - Query 82: id=9172, x=41.78, y=138.17
Sequential Scan - Query 83: id=49462, x=6.17, y=118.30
Best First - Query 83: id=49462, x=6.17, y=118.30
Divide and Conquer - Query 83: id=49462, x=6.17, y=118.30
Sequential Scan - Query 84: id=26753, x=21.35, y=142.13
Best First - Query 84: id=26753, x=21.35, y=142.13
Divide and Conquer - Query 84: id=26753, x=21.35, y=142.13
Sequential Scan - Query 85: id=56032, x=41.55, y=110.55
Best First - Query 85: id=56032, x=41.55, y=110.55
Divide and Conquer - Query 85: id=56032, x=41.55, y=110.55
Sequential Scan - Query 86: id=73974, x=54.94, y=127.63
Best First - Query 86: id=73974, x=54.94, y=127.63
Divide and Conquer - Query 86: id=73974, x=54.94, y=127.63
Sequential Scan - Query 87: id=71943, x=62.47, y=117.25
Best First - Query 87: id=71943, x=62.47, y=117.25
Divide and Conquer - Query 87: id=71943, x=62.47, y=117.25
Sequential Scan - Query 88: id=134902, x=55.59, y=125.93
Best First - Query 88: id=134902, x=55.59, y=125.93
Divide and Conquer - Query 88: id=134902, x=55.59, y=125.93
Sequential Scan - Query 89: id=83379, x=24.46, y=153.74
Best First - Query 89: id=83379, x=24.46, y=153.74
Divide and Conquer - Query 89: id=83379, x=24.46, y=153.74
Sequential Scan - Query 90: id=79449, x=35.80, y=136.42
Best First - Query 90: id=79449, x=35.80, y=136.42
Divide and Conquer - Query 90: id=79449, x=35.80, y=136.42
Sequential Scan - Query 91: id=96781, x=30.98, y=105.11
Best First - Query 91: id=96781, x=30.98, y=105.11
Divide and Conquer - Query 91: id=96781, x=30.98, y=105.11
Sequential Scan - Query 92: id=130153, x=75.83, y=136.72
Best First - Query 92: id=130153, x=75.83, y=136.72
Divide and Conquer - Query 92: id=130153, x=75.83, y=136.72
Sequential Scan - Query 93: id=82644, x=70.86, y=103.87
Best First - Query 93: id=82644, x=70.86, y=103.87
Divide and Conquer - Query 93: id=82644, x=70.86, y=103.87
Sequential Scan - Query 94: id=18962, x=38.35, y=81.83
Best First - Query 94: id=18962, x=38.35, y=81.83
Divide and Conquer - Query 94: id=18962, x=38.35, y=81.83
Sequential Scan - Query 95: id=91180, x=5.39, y=83.64
Best First - Query 95: id=91180, x=5.39, y=83.64
Divide and Conquer - Query 95: id=91180, x=5.39, y=83.64
Sequential Scan - Query 96: id=95593, x=4.59, y=158.55
Best First - Query 96: id=95593, x=4.59, y=158.55
Divide and Conquer - Query 96: id=95593, x=4.59, y=158.55
Sequential Scan - Query 97: id=15083, x=18.40, y=89.19
Best First - Query 97: id=15083, x=18.40, y=89.19
Divide and Conquer - Query 97: id=15083, x=18.40, y=89.19
Sequential Scan - Query 98: id=107695, x=51.08, y=146.08
Best First - Query 98: id=107695, x=51.08, y=146.08
Divide and Conquer - Query 98: id=107695, x=51.08, y=146.08
Sequential Scan - Query 99: id=103430, x=51.06, y=108.64
